Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
anc_asym_mig	Round_4_Replicate_5	-5102.53	10217.06	8723.16	24603.82	1.0277,1.8487,0.8714,0.6813,15.1437,0.1224	
anc_asym_mig	Round_4_Replicate_29	-5291.25	10594.5	9033.02	40316.2	0.4503,1.3197,2.6632,0.8006,15.7912,0.0774	
anc_asym_mig	Round_4_Replicate_40	-5618.27	11248.54	9700.21	33833.08	0.6637,1.4818,2.3434,0.813,10.0732,0.1243	
anc_asym_mig	Round_4_Replicate_31	-5823.68	11659.36	10165.71	19627.05	1.2818,2.4009,0.9537,0.532,13.2912,0.1706	
anc_asym_mig	Round_4_Replicate_28	-5852.87	11717.74	10380.53	35944.93	0.5446,1.4569,2.0052,0.7518,6.6704,0.064	
anc_asym_mig_size	Round_4_Replicate_19	-1240.53	2497.06	1429.4	80887.3	2.0728,0.8095,0.0808,0.2563,18.3906,4.0629,0.4681,0.0336	
anc_asym_mig_size	Round_4_Replicate_35	-1544.52	3105.04	2038.06	80075.16	1.2235,0.7022,0.1113,0.348,25.8849,7.2414,0.9866,0.049	
anc_asym_mig_size	Round_4_Replicate_26	-1573.81	3163.62	2165.6	68804.42	2.0461,1.2954,0.0822,0.2564,21.6767,3.3754,0.6582,0.0338	
anc_asym_mig_size	Round_4_Replicate_1	-1693.62	3403.24	2300.85	59075.18	2.312,1.0099,0.1362,0.3373,25.2556,13.4421,1.1004,0.0583	
anc_asym_mig_size	Round_4_Replicate_28	-1771.19	3558.38	2502.45	75716.23	2.2731,0.8887,0.0972,0.3095,24.7966,9.4322,0.3364,0.043	
anc_sym_mig	Round_4_Replicate_35	-4577.04	9164.08	8029.28	78610.87	0.2436,0.5885,1.0135,0.0344,0.0767	
anc_sym_mig	Round_4_Replicate_11	-7454.49	14918.98	12973.25	77630.93	0.3652,0.5501,1.4512,0.037,0.0997	
anc_sym_mig	Round_4_Replicate_6	-7971.16	15952.32	14155.24	76886.73	0.3811,0.5666,1.1237,0.0342,0.0932	
anc_sym_mig	Round_4_Replicate_40	-8736.66	17483.32	16121.25	72566.92	0.348,0.7569,0.9265,0.0137,0.1377	
anc_sym_mig	Round_4_Replicate_20	-9041.06	18092.12	16507.71	71870.02	0.3762,0.772,1.7361,0.0499,0.1022	
anc_sym_mig_size	Round_4_Replicate_26	-2630.29	5274.58	4239.19	82259.43	11.1154,3.9986,0.1615,0.3259,1.6102,0.0427,0.0584	
anc_sym_mig_size	Round_4_Replicate_11	-5146.34	10306.68	8690.19	84114.1	7.2662,4.9468,0.1994,0.2999,2.0495,0.0439,0.071	
anc_sym_mig_size	Round_4_Replicate_28	-5651.02	11316.04	10103.75	75298.87	11.7912,8.6346,0.2767,0.5574,0.8681,0.0359,0.1126	
anc_sym_mig_size	Round_4_Replicate_40	-6101.47	12216.94	11121.07	73107.93	11.3667,4.2846,0.2471,0.6048,0.8723,0.0521,0.1037	
anc_sym_mig_size	Round_4_Replicate_14	-6200.69	12415.38	10956.43	78096.7	23.7675,9.172,0.2818,0.4355,0.9378,0.0369,0.0906	
asym_mig	Round_4_Replicate_40	-1719.46	3448.92	2329.06	88979.48	0.1375,0.3397,1.409,0.4344,0.0688	
asym_mig	Round_4_Replicate_25	-1821.66	3653.32	2542.18	86804.06	0.1617,0.3848,1.17,0.3515,0.0786	
asym_mig	Round_4_Replicate_23	-1857.58	3725.16	2615.27	89463.23	0.1204,0.3321,1.8468,0.3679,0.0635	
asym_mig	Round_4_Replicate_28	-1939.13	3888.26	2751.86	89980.16	0.1319,0.3416,2.3341,0.5946,0.0751	
asym_mig	Round_4_Replicate_24	-1959.74	3929.48	2782.96	90148.95	0.1422,0.341,2.1058,0.5226,0.0803	
asym_mig_size	Round_4_Replicate_31	-2713.08	5442.16	4105.58	9210.44	16.2676,2.2694,0.1831,1.0847,0.393,0.9345,14.7063,0.0822	
asym_mig_size	Round_4_Replicate_38	-3874.56	7765.12	6662.5	7553.29	15.041,2.8012,0.297,1.9447,0.3039,0.7065,20.5741,0.1231	
asym_mig_size	Round_4_Replicate_11	-4152.46	8320.92	7049.8	8750.25	19.0839,2.8478,0.3396,2.0665,0.434,0.6538,16.0262,0.1658	
asym_mig_size	Round_4_Replicate_3	-4171.37	8358.74	6827.68	10111.75	14.3301,1.9943,0.1908,0.9042,0.3036,0.7709,14.4184,0.0818	
asym_mig_size	Round_4_Replicate_36	-5108.86	10233.72	9279.66	6279.3	25.0008,1.5774,0.1859,1.2344,0.2811,1.4242,22.3656,0.0769	
asym_mig_twoepoch	Round_4_Replicate_13	-6525.59	13067.18	11662.11	150423.71	0.1176,0.3413,5.8633,0.7275,5.638,1.6527,1.0488,1.3351	
asym_mig_twoepoch	Round_4_Replicate_23	-6572.59	13161.18	11812.42	116412.78	0.1734,0.4121,6.9358,0.5593,3.6661,1.5438,1.3626,3.8074	
asym_mig_twoepoch	Round_4_Replicate_21	-6586.32	13188.64	11783.88	148119.65	0.1235,0.3399,11.6436,0.564,5.1794,1.6154,0.5431,1.7522	
asym_mig_twoepoch	Round_4_Replicate_31	-6612.4	13240.8	11829.64	162979.45	0.1083,0.3187,6.8857,0.3832,6.2857,1.6668,0.9193,1.5511	
asym_mig_twoepoch	Round_4_Replicate_8	-6623.7	13263.4	12005.1	98383.21	0.2117,0.4796,5.4629,0.7442,2.993,1.4655,0.6413,4.1257	
bottleneck_split_sizeChange	Round_4_Replicate_15	-1361.64	2735.28	1675.57	85662.82	1.7612,2.1531,0.0282,0.055,0.043,0.1592	
bottleneck_split_sizeChange	Round_4_Replicate_36	-1373.0	2758.0	1702.52	85420.65	1.6582,2.4627,0.0314,0.0521,0.0398,0.1524	
bottleneck_split_sizeChange	Round_4_Replicate_26	-1421.18	2854.36	1798.85	85189.61	1.9984,2.4609,0.0179,0.0706,0.0581,0.202	
bottleneck_split_sizeChange	Round_4_Replicate_2	-1433.31	2878.62	1855.49	85004.22	1.0501,2.9536,0.0268,0.0568,0.0483,0.1671	
bottleneck_split_sizeChange	Round_4_Replicate_33	-1514.25	3040.5	2025.71	83092.52	0.6646,2.3337,0.0424,0.0579,0.0523,0.1781	
no_mig	Round_4_Replicate_9	-1674.68	3355.36	2266.94	88580.19	0.1318,0.3182,0.0566	
no_mig	Round_4_Replicate_3	-1677.59	3361.18	2277.56	88343.19	0.1319,0.3233,0.0568	
no_mig	Round_4_Replicate_30	-1678.51	3363.02	2271.76	88877.35	0.126,0.3111,0.0546	
no_mig	Round_4_Replicate_1	-1684.63	3375.26	2288.35	88369.12	0.1363,0.3226,0.0579	
no_mig	Round_4_Replicate_17	-1688.48	3382.96	2287.57	89189.45	0.1213,0.3013,0.0521	
no_mig_size	Round_4_Replicate_32	-22816.9	45645.8	41644.99	59769.59	0.5266,7.8526,1.5604,0.7237,0.1394,0.1322	
no_mig_size	Round_4_Replicate_40	-24305.85	48623.7	45983.03	59735.42	0.4024,11.6793,1.6411,0.8557,0.1001,0.1436	
no_mig_size	Round_4_Replicate_28	-24474.78	48961.56	49107.38	59560.13	0.4017,17.9985,1.6126,0.8465,0.1106,0.114	
no_mig_size	Round_4_Replicate_15	-24757.51	49527.02	47714.58	60470.57	0.2502,5.5829,2.235,0.9796,0.0863,0.1167	
no_mig_size	Round_4_Replicate_36	-25302.21	50616.42	49294.19	59411.19	0.2839,8.0854,1.7502,0.9941,0.0978,0.1137	
sec_contact_asym_mig	Round_4_Replicate_8	-10821.38	21654.76	21594.97	84186.06	0.4053,0.4667,0.8214,2.2196,1.0567,3.7484	
sec_contact_asym_mig	Round_4_Replicate_37	-12172.53	24357.06	23872.13	72094.47	0.4887,0.5068,0.5431,1.9904,0.7186,1.1053	
sec_contact_asym_mig	Round_4_Replicate_20	-12267.19	24546.38	25274.87	98046.57	0.3595,0.4051,0.7608,2.6896,0.6994,2.425	
sec_contact_asym_mig	Round_4_Replicate_38	-12518.27	25048.54	24833.99	109476.26	0.3711,0.2975,0.6734,3.607,0.7696,1.1258	
sec_contact_asym_mig	Round_4_Replicate_7	-12608.51	25229.02	23611.78	62218.42	0.6429,0.5577,0.4815,1.6878,0.4657,3.6232	
sec_contact_asym_mig_size	Round_4_Replicate_6	-6702.11	13420.22	12126.55	16208.43	3.9849,0.2387,1.2144,3.0604,0.5604,0.2147,0.2726,20.4137	
sec_contact_asym_mig_size	Round_4_Replicate_23	-6751.83	13519.66	12071.47	23025.04	11.9783,0.1006,0.7252,2.325,0.9676,0.2194,0.2385,23.4651	
sec_contact_asym_mig_size	Round_4_Replicate_24	-6980.31	13976.62	12605.93	25730.89	7.1297,0.1525,0.6585,2.0739,1.1281,0.2736,0.7579,18.6054	
sec_contact_asym_mig_size	Round_4_Replicate_12	-6987.41	13990.82	12717.49	20285.42	6.4481,0.2107,1.1255,2.2443,0.5861,0.3107,0.5873,19.489	
sec_contact_asym_mig_size	Round_4_Replicate_27	-7312.4	14640.8	13106.47	38130.19	10.1372,0.1388,0.3975,1.4839,1.8731,0.2981,0.5829,24.4169	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_30	-4548.41	9110.82	8199.4	6931.93	2.9004,5.7144,10.3269,4.1769,22.8475,1.2778,3.0978	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_22	-4597.81	9209.62	8250.34	8610.98	2.4358,4.7014,6.5696,2.9868,17.1616,0.9947,4.5878	
sec_contact_asym_mig_three_epoch	Round_3_Replicate_10	-5341.51	10697.02	9627.8	12771.62	1.7969,3.5892,9.3465,5.555,9.3888,0.6774,3.8327	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_26	-5410.0	10834.0	10191.68	13324.76	1.3844,3.6259,5.5982,14.4795,13.5309,0.5364,5.0872	
sec_contact_asym_mig_three_epoch	Round_4_Replicate_19	-5819.5	11653.0	10216.28	14644.26	1.7569,2.9522,10.0842,4.4976,8.4443,0.6346,6.124	
sec_contact_sym_mig	Round_4_Replicate_21	-7442.38	14894.76	13821.86	57135.82	0.4129,0.71,1.2026,1.6834,1.872	
sec_contact_sym_mig	Round_4_Replicate_29	-7451.16	14912.32	14146.71	53024.71	0.4422,0.7629,1.1759,1.5765,1.2199	
sec_contact_sym_mig	Round_4_Replicate_6	-7603.66	15217.32	15098.76	44902.43	0.4898,0.8907,1.0862,2.3677,1.4737	
sec_contact_sym_mig	Round_4_Replicate_34	-7784.51	15579.02	14381.8	61899.64	0.3939,0.602,1.3729,1.8659,1.6261	
sec_contact_sym_mig	Round_4_Replicate_26	-7992.22	15994.44	15126.77	35818.97	0.5769,1.1236,0.7986,3.378,1.9439	
